# idPedido|idProducto|nombreProducto|precioBase|idVariante|descVariante|precioExtra|cantidad
1|3|Fender Telecaster American Pro II|7200000.00|6|3-Color Sunburst|0.00|1
1|1|Fender Stratocaster Player|2899000.00|1|Sunburst|0.00|1
1|2|Gibson Les Paul Standard '50s|8499000.00|4|Gold Top|0.00|1
2|7|Roland JUNO-DS61 Sintetizador|3799000.00|-1||0.00|5
2|6|Roland FP-90X Piano Digital|5499000.00|9|Negro|0.00|1
3|3|Fender Telecaster American Pro II|7200000.00|6|3-Color Sunburst|0.00|1
3|4|Fender Precision Bass Player|3299000.00|-1||0.00|1
4|3|Fender Telecaster American Pro II|7200000.00|6|3-Color Sunburst|0.00|1
4|1|Fender Stratocaster Player|2899000.00|1|Sunburst|0.00|1
5|6|Roland FP-90X Piano Digital|5499000.00|9|Negro|0.00|1
5|3|Fender Telecaster American Pro II|7200000.00|6|3-Color Sunburst|0.00|1
6|5|Yamaha P-125 Piano Digital|2199000.00|7|Negro|0.00|1
6|4|Fender Precision Bass Player|3299000.00|-1||0.00|1
7|1|Fender Stratocaster Player|2899000.00|1|Sunburst|0.00|1
7|2|Gibson Les Paul Standard '50s|8499000.00|4|Gold Top|0.00|1
8|6|Roland FP-90X Piano Digital|5499000.00|9|Negro|0.00|1
9|4|Fender Precision Bass Player|3299000.00|-1||0.00|1
10|3|Fender Telecaster American Pro II|7200000.00|6|3-Color Sunburst|0.00|1
11|10|Saxofón Alto Yamaha YAS-280|3499000.00|19|Lacado Dorado|0.00|3
12|10|Saxofón Alto Yamaha YAS-280|3499000.00|19|Lacado Dorado|0.00|3
13|10|Saxofón Alto Yamaha YAS-280|3499000.00|19|Lacado Dorado|0.00|1
14|100|Ibanez RG550 Genesis|4850000.00|10000|Estándar|0.00|7
15|102|Rode NT1 5th Generation|1890000.00|10200|Kit completo + filtro pop|250000.00|2
16|111|Sennheiser HD 400 Pro|1290000.00|11100|Estándar|0.00|4
16|107|Yamaha YBS-52 Saxofón Barítono|9800000.00|10700|Estándar|0.00|6
16|105|Korg Minilogue XD|4299000.00|10500|Estándar|0.00|5
16|112|Fender Newporter Player Guitarra Acústica|2850000.00|11200|Estándar|0.00|6
16|104|Fender Jazz Bass Player|3499000.00|10400|Estándar|0.00|7
16|103|Gibson SG Standard|6899000.00|10300|Estándar|0.00|7
