# id|nombre|descripcion|precio|idCategoria|stock|imagePath
100|Ibanez RG550 Genesis|Guitarra eléctrica japonesa con cuerpo basswood y mástil Wizard III|4850000.00|1|10|prodimg/Gemini_Generated_Image_dz1cx6dz1cx6dz1c (1)_1780020024077.png
102|Rode NT1 5th Generation|Micrófono de condensador cardioide con previo de 32 bits y conexión dual XLR/USB-C|1890000.00|5|15|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_12tbci12tbci12tb_1780021636730.png
103|Gibson SG Standard|Guitarra eléctrica de caoba con pastillas 490R/490T y clavijero 3+3|6899000.00|1|9|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\GibsonSG_Standard_1780349650839.png
104|Fender Jazz Bass Player|Bajo eléctrico de doble bobina con cuerpo aliso y mástil de arce|3499000.00|1|3|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Fender_Jazz_Bass_Player_1780350020408.png
105|Korg Minilogue XD|Sintetizador analógico polifónico de 4 voces con oscilador digital multicéntrico|4299000.00|2|5|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Korg_Minilogue_XD_1780350108164.png
106|Pearl Export Series 5 piezas|Batería acústica con cuerpos de álamo y herrajes cromados incluidos|5990000.00|3|12|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_e8lg0re8lg0re8lg_1780350201998.png
107|Yamaha YBS-52 Saxofón Barítono|saxofón barítono lacado con llave de Fa adicional y octavín bajo|9800000.00|4|1|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_cjhe2ocjhe2ocjhe_1780350365938.png
108|Roland TD-17KVX Batería Electrónica|Batería electrónica con platillos V-Cymbal y pad de snare PDX-12|8750000.00|3|10|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_1mnbsp1mnbsp1mnb_1780350574492.png
109|Focusrite Scarlett 2i2 Gen 4|Interfaz de audio USB 2 entradas/2 salidas con previos Air a 24bit/192kHz|899000.00|5|10|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_t4m24ft4m24ft4m2_1780350656951.png
110|Yamaha THR30II Amplificador|Amplificador de escritorio estéreo 30W con modelado de válvulas y conectividad Bluetooth|3200000.00|5|10|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_a7a6oia7a6oia7a6_1780350974613.png
111|Sennheiser HD 400 Pro|Auriculares de estudio circumaurales abiertos con respuesta plana y diadema ajustable|1290000.00|5|15|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_k113ddk113ddk113_1780351341656.png
112|Fender Newporter Player Guitarra Acústica|Guitarra acústica de cuerpo californiano con tapa de abeto y fondo de caoba|2850000.00|1|22|C:\Users\CARLOS ANAYA\OneDrive\Documentos\NetBeansProjects\harmoniaa\prodimg\Gemini_Generated_Image_k2lwwuk2lwwuk2lw_1780351515130.png
